Scenario,Year,Agp,Index,A,M,L,U
Sch2d85,2042,80+,N_HZ_Hosp,1051.5209294824738,1031.2032317154094,649.9435139686555,1568.393449474182
Sch2d85,2042,80+,N_HZ_PHN,1365.2217535892757,1345.972884217811,838.9978464264922,1985.3487801816666
Sch2d85,2042,80+,N_HZ_PHN_GP,1271.7026166937223,1255.380694578956,776.5652346464838,1848.8384008854832
Sch2d85,2042,80+,N_HZ_Death,0.08805313387188367,0.08263964659374566,0.03726785705782841,0.1734616678946322
Sch2d85,2042,80+,Coverage_ZVL,0,0,0,0
Sch2d85,2042,80+,Coverage_RZV,0.005799421743730216,0.005784391447938594,0.005101264719390756,0.006484632745032707
Sch2d85,2042,80+,Coverage,0.005799421743730216,0.005784391447938594,0.005101264719390756,0.006484632745032707
Sch2d85,2042,80+,IncR_HZ,0.0032320732214718463,0.0032397603114955836,0.00197164081609449,0.004703705669021778
Sch2d85,2042,80+,IncR_HZ_Hosp,2.239839138407532e-4,2.1965605184723076e-4,1.3844412217811026e-4,3.3408265437790525e-4
Sch2d85,2042,80+,IncR_HZ_PHN,2.908051595130509e-4,2.8670496808752034e-4,1.7871448496898523e-4,4.228980875757897e-4
Sch2d85,2042,80+,MorR_HZ,1.8756151206876218e-8,1.760302716142212e-8,7.938406407543863e-9,3.69489776066623e-8
Sch2d85,2043,60_80,Protection,0.6458001715753723,0.6478007182240084,0.5623255128054997,0.7141704002525271
Sch2d85,2043,60_80,N,13118284,13118284,13118283.999999998,13118284.000000002
Sch2d85,2043,60_80,N_Uptake_ZVL,0,0,0,0
Sch2d85,2043,60_80,N_Uptake_RZV,1410670.2248635902,1411021.9320787948,1402074.6119819172,1417743.2165109273
Sch2d85,2043,60_80,N_Covered_ZVL,0,0,0,0
Sch2d85,2043,60_80,N_Covered_RZV,705335.1124317951,705510.9660393974,701037.3059909586,708871.6082554637
Sch2d85,2043,60_80,N_HZ,33831.854248840915,33737.87999009334,26402.126735445945,42155.47647855111
Sch2d85,2043,60_80,N_HZ_GP,33309.77376145772,33237.05165916445,26041.856624547996,41471.77358845921
